team_name,password,leader_phone,security_question,security_answer
Team_1,ocean76,1234567890,red,blue13
Team_2,pearl64,1234567890,red,orange89
Team_3,ocean14,1234567890,red,orange93
Team_4,pearl15,1234567890,red,red28
Team_5,amber79,1234567890,red,red83
Team_6,amber27,1234567890,red,orange72
Team_7,amber67,1234567890,red,blue73
Team_8,rainbow99,1234567890,red,blue67
Team_9,rainbow76,1234567890,red,red45
Team_10,copper14,1234567890,red,yellow40
Team_11,copper93,1234567890,red,gold26
Team_12,rainbow56,1234567890,red,red30
Team_13,daisy59,1234567890,red,silver81
Team_14,sunshine32,1234567890,red,yellow79
Team_15,pearl15,1234567890,red,silver78
Team_16,daisy68,1234567890,red,orange49
Team_17,sunshine70,1234567890,red,silver38
Team_18,breeze85,1234567890,red,green73
Team_19,forest72,1234567890,red,red81
Team_20,amber26,1234567890,red,orange25
Team_21,amber65,1234567890,red,red44
Team_22,rainbow39,1234567890,red,orange12
Team_23,daisy32,1234567890,red,yellow25
Team_24,pearl65,1234567890,red,red92
Team_25,amber29,1234567890,red,gold35
Team_26,amber78,1234567890,red,yellow53
Team_27,ocean60,1234567890,red,green24
Team_28,ocean93,1234567890,red,purple45
Team_29,forest93,1234567890,red,green12
Team_30,amber31,1234567890,red,green27
